partition	profile	per_circuit_matrix	interaction_loop	higher_occurrence	existing_displayed
0001234000314200	8+2+2+2+2	4/4,1/1,1/1,1/1,1/1	0	1	0
0001234003144422	5+4+3+2+2	4/1,1/1,1/2,1/1,1/3	0	1	0
0012344041300022	6+3+3+2+2	3/3,1/1,1/2,1/1,2/1	0	1	0
0012344044130244	6+4+2+2+2	3/1,1/1,1/1,1/1,2/4	0	1	0
0012344400314200	6+4+2+2+2	2/4,1/1,1/1,1/1,3/1	0	1	0
0012344403144422	6+3+3+2+2	2/1,1/1,1/2,1/1,3/3	0	1	0
0123444441300022	5+4+3+2+2	1/3,1/1,1/2,1/1,4/1	0	1	0
0123444444130244	8+2+2+2+2	1/1,1/1,1/1,1/1,4/4	0	1	1
