1	1	0	2	722	010479822851773459820631220186102254120421403523189747069586813510613285579681343197614525802475193012063601542307479794859
1	2	0	4	660	024607251286101230430394205882769182513673619658340217606072031020416107824497254303684528195701863452799330034744936479706
1	3	0	5	256	028670471235101230430214205882769187607423619658340217600672031020410107224497854303684528195701863452799386531799436479706
1	4	0	6	542	068153017045362420185949447201258281524969787852211353407067209363182938761168284545972015481368697120746847369272852974021
1	5	0	7	78	067186107087362420185289447201258281524969787852211353407067209363182938761168284545972015481368697120746847369272852974021
1	6	0	10	481	036287694002731670698185361802186069153631769580893514256816943516734852094351272196153969389354512351308125974183606497706
1	7	0	11	465	061153987060767036936349568512079720021814826757038163040125188618634679003861241296133401589254543201300467670255413425403
1	8	0	12	391	069153537210082413595828712004351301681823456312954306187601062879728452728974971804283158758955989186356397794241542135369
1	9	0	14	346	047186893912560472813285988260727960639878355491257823047497038597460433701452821028987601558246958513691234210275893396120
1	10	0	16	81	074135896197684007613065988260727960639878355491257823047497038597460433701452821028987601558246958513691234210275893396120
1	11	0	18	319	072452786982737812042405849396306676034207025981853965893967699630302477198425353942855896972311858861699678102312543340963
1	12	0	19	76	072452786986531879406407882598594676034207025981853965893967699630302477198425353942855896972311858861699678102312543340963
1	13	0	23	274	015693132153801569343890261559813615043635899585822784975240317289543586093794360268671687016240854936120779974795486021816
1	14	0	24	256	012315402721680158952034003439670421351606588219761864304303694301395251843351606106077943674037942186354503794473959168782
1	15	0	39	59	012315402721680158952034003439670681706066187916438594304253694301395251843351606106077943674037942186354503794473959168782
1	16	0	41	239	020639811353651047982407892593634287706820721518308275243699694795330816461589784370746393969635394524070187782726816618102
1	17	0	44	157	028425271345952447985729568116816360963478970424305133048728157285367946079936744720721531867549027542184260947398616618895
1	18	0	45	97	028425271245402749768721658116896960369473357011601208278728157285367946079936744720721531867549027542184260947398616618895
1	19	0	46	29	028425271245402749768721658116896960369473347400935428168728157285367946079936744720721531867549027542184260947398616618895
1	20	0	51	161	067693407406797630470496097816852682351874106332946072877498957286859185861936184525124521035012120513514398245763012340120
1	21	0	53	146	072749586786401330435591698772852434254704029451799850348279493694772707869749533669723049849746798012851358639619895958895
1	22	0	62	144	078153526918636097407956138258967431782450015822986703158614250210459284870936164539616396839348607728165997254284731895728
1	23	0	66	119	079153946067370185942825442054251960618273317955495892877287679476007064672153989842515896345353210947826839816257479794351
1	24	0	71	126	013706352894177658940423460651397960531274350121280762875428939581651690336670491352514306347768901168525882827671089425859
1	25	0	75	106	025794041534130658967820132758968940531031702826705133967496160127885878921067408679604306730741498067954389425633920861210
1	26	0	76	98	068120317047469749704793034967047670315369061837619587284258932013651546327706984972498612759075863012793698985255498425479
1	27	0	78	79	018479862151203120125204205115343121639700024011304250341531210212001073269861030221210674001935263618798985639341013425315
1	28	0	89	67	070369766142385470612780251885986274034591862881766187602015279476840034340135139586021530176453021452104213895450212210985
1	29	0	105	77	078728526198385470612720152885987682947972184776964036938595851204995362894351674936019581279636497403043034430604770396974
1	30	0	118	11	078728526198385470612720152885987682947972184776964036938595851204995342804351634036019581279676403497943934430694370706936
1	31	1	19	48	107607962542245415302601846160798360618675941227077821867286891354513280572618986186031689478531210021029494067853927168287
1	32	1	37	51	702287616004273130495708519724534286706310769470763044306704543040228362798872853102181539607639693168169587542898513895958
1	33	1	49	10	702287616004273130495708519734024286706315749429703151866704543040228362798872853102181539607639693168169587542898513895958
1	34	1	60	4	702287616004273130495708519734024286706315749429703151866701012540228362798872853102181539607639693168169587542898513895958
1	35	1	74	18	702287616004273130495708519734024286706315749429703151866702011534218032640513933102181539607639693168169587542868153861958
1	36	1	89	50	106531672189205160763939508630431212816305019432709471866070123154027249854076120342495310759204812452706374479300436639749
1	37	1	95	16	106531672189205160763939508630431212816305019432709471866070123154027249854076120343600760796700361425186374479300436639749
1	38	1	111	38	203153041843560294701162594340360970513167405863982102458276023158170956687201820496043516378852294351072187872073669693430
1	39	1	116	18	203153041843560294701162594340360970513167405863982102458276017285270956687201820406787601202278182872071287872073640693430
1	40	1	118	15	203153041843560294701162594340360304153137405863982102458276017285270954689278150406787601204270382816971253531033440403430
1	41	2	24	32	070245366018176052497394023160785315497639540672748957496814032010439204613403954353611025895471895639582007936189639936201
1	42	2	58	31	540947432893676963943390112839687304497632400613787605426704532010120246153396814053611206895741896589530207936860121120531
