N???C@?M@gT?P_?wOS?	46	3fffffffffff
N???C@?M@gT?P_?wGS?	46	3bffbffffff7d
N???C@?M@gT?P_?w@S?	46	3fffffffffff
N???C@?M@gT?P_?wOK?	46	7fffffff7fff
N???C@?M@gT?P_?wAK?	46	7ffffffeffff
N???C@?M@gT?P_?w@K?	46	7ffffffeffff
N???C@?M@gT?P_?w?k?	46	3fffffffffff
N???C@?M@gT?P_?w?[?	46	3ffeff7ff7eff
N???C@?M@gT?@oOgX??	46	fffffffff7fd
N???C@?M@gT?@oOgJ??	46	3ffffffffe7f9
N???C@?M@gT?@oOgI_?	46	3fffffffffff
N???C@?M@gT?@oOgWO?	46	7ffffffdffff
N???C@?M@gT?@oOgHO?	46	fffffffdefff
N???C@?M@gT?@oOgGo?	46	2ffeffffffefb
N???C@?M@gT?@oOgIG?	46	3fffffffffff
N???C@?M@gT?@oOgHG?	46	3fffffffffff
N???C@?M@gT?@oOgGg?	46	3fffffffffff
N???C@?M@gT?@oOgGW?	46	3bffbffffff7d
N???C@?M@gT?@oOgWC?	46	7ffffffdffff
N???C@?M@gSOR??wX??	46	7ffffffdffff
N???C@?M@gSOR??wB_?	46	3fffffffdef7e
N???C@?M@gSOR??wWO?	46	7ffffffffffe
N???C@?M@gSOR??wPO?	46	3fffffffffff
N???C@?M@gSOR??wBO?	46	3fffffffffff
N???C@?M@gSOR??wGW?	46	7ffffffff7ff
N???C@?M@gSOR??wBC?	46	7fffffff7fff
N???C@?M@gSOR??wOS?	46	fffffffff77f
N???C@?M@gSOR??w@S?	46	3fffffffffff
N???C@?M@gSOR??wGK?	46	7ffffffff7ff
N???C@?M@gSOR??wAK?	46	7ffffffff7ff
N???C@?M@gSOR??w@K?	46	3fffffffffff
N???C@?M@gSOR??w?[?	46	fffffffcffff
N???C@?M@gSOQ_@WJ??	46	fffffffeefff
N???C@?M@gSOQ_@WW_?	46	3fffffffffff
N???C@?M@gSOQ_@WI_?	46	3fffffffffff
N???C@?M@gSOQ_@WWO?	46	7ffffffdffff
N???C@?M@gSOQ_@WHO?	46	fffffffdefff
N???C@?M@gSOQ_@WOo?	46	3fffffffffff
N???C@?M@gSOQ_@WGo?	46	3fffffffffff
N???C@?M@gSOQ_@WAo?	46	3fffffffffff
N???C@?M@gSOQ_@WHG?	46	3fffffffffff
N???C@?M@gSOQ_@WGg?	46	3fffffffffff
N???C@?M@gSOQ_@WAg?	46	fffffffff77f
N???C@?M@gSOQ_@WGW?	46	3fffffffffff
N???C@?M@gSOQ_@WPC?	46	3fffffffffff
N???C@?M@gSOQ_@WOc?	46	7fffffffff7f
N???C@?M@gSOQ_@WGc?	46	3fffffffffff
N???C@?M@gSOQ_@WAc?	46	7ffffffff7ff
N???C@?M@gSOQ_@WOS?	46	3fffffffffff
N???C@?M@gSOQ_@WGS?	46	3fffffffffff
N???C@?M@gSOQ_@W?s?	46	3fffffffffff
N???C@?M@gSOQ_@WOK?	46	7ffffffffeff
N???C@?M@gSOQ_@WGK?	46	3fffffffffff
N???C@?M@gSOQ_@WAK?	46	7fffffffefff
N???C@?M@gSOQ_@W@K?	46	3fffffffffff
N???C@?M@gSOQ_@W?k?	46	7ffffffeffff
N???C@?M@gSOQ_@W?[?	46	3fffffffffff
N???C@?M@gSOB_OWX??	46	3fffffffffff
N???C@?M@gSOB_OWJ??	46	2ffeffffffefb
N???C@?M@gSOB_OWWO?	46	7ffffffffffe
N???C@?M@gSOB_OWHG?	46	3fffffffffff
N???C@?M@gSOB_OWGW?	46	7ffffffff7ff
N???C@?M@gSOB_OWHC?	46	3fffffffffff
N???C@?M@gSOBOOgX??	46	3fffffffffff
N???C@?M@gSOBOOgJ??	46	3fffffffffff
N???C@?M@gSOBOOgWO?	46	fffffffff7fe
N???C@?M@gSOBOOgHO?	46	3fffffffffff
N???C@?M@gSOBOOgGW?	46	7ffffffff7ff
N???C@?M@gSOBOOgGK?	46	7ffffffff7ff
N???C@?M@gSOAoPGX??	46	3fffffffffff
N???C@?M@gSOAoPGJ??	46	7fffffffff7f
N???C@?M@gSOAoPGW_?	46	7ffffffff7ff
N???C@?M@gSOAoPGI_?	46	3ffffffffe67f
N???C@?M@gSOAoPGWO?	46	3fffffffffff
N???C@?M@gSOAoPGHG?	46	3fffffffffff
N???C@?M@gSOAoPGGg?	46	3fffffffffff
N???C@?M@gSOAoPGWC?	46	7ffffffeffff
N???C@?M@gSOAoPGGS?	46	3fffffffffff
N???C@?M@gSGQ_@gX??	46	7fffffffefff
N???C@?M@gSGQ_@gWO?	46	3fffffffffff
N???C@?M@gSGB_OgX??	46	3fffffffffff
N???C@?M@gSGB_OgWO?	46	ffffffffeffe
N???CB?WDABGD_B_EC?	46	7ffffffff7ff
N???CB?WDABGD_B_Cc?	46	7ffffffff7ff
N???CB?K?[H_M?GoY??	46	3fffffffffff
N???CB?K?[H_M?GoWG?	46	7ffffffff7ff
N???CB?K?[H_M?GoQC?	46	3fffffffffff
N???CB?K?[H_M?GoOc?	46	7fffffffff7f
N???CB?K?[H_M?GoOS?	46	3fffffffffff
N???CB?K?[H_M?GoGK?	46	7fffffffff7f
N???CB?K?[H_M?GoAK?	46	3fffffffffff
N???CB?K?[H_M?GoWA?	46	3fffffffffff
N???CB?K?[H_M?GoAa?	46	2ffdeff7fe70fccc
N???CB?K?[H_M?GoOE?	46	3fffffffffff
N???CB?K?[H_M??sE_?	46	2ffdeff7fe70fccc
N???CB?K?[H_M??sWG?	46	7ffffffdffff
N???CB?K?[H_M??sSC?	46	3fffffffffff
N???CB?K?[H_M??sOc?	46	7fffffff7fff
N???CB?K?[H_M??sOS?	46	3fffffffffff
N???CB?K?[H_M??sGK?	46	7fffffff7fff
N???CB?K?[H_IOK_I_?	46	3ffff7dfdf7ff
N???CB?K?[H_IOK_WG?	46	3fffffffffff
